,,OMA1,,,,,,,,0.85,,0.74
,,OPA3,,,,,,,,0.84,,0.57
,,OPN1LW,,,,,,,,0.50,,0.62
,,OPN1MW,,,,,,,,0.00,,0.00
,,OPN1MW2,,,,,,,,0.00,,0.00
,,OPN1SW,,,,,,,,0.48,,0.19
,,OPRD1,,,,,,,,0.18,,0.42
,,OPRK1,,,,,,,,0.28,,0.09
,,OPRM1,,,,,,,,0.00,,0.00
,,ORC1L,,,,,,,,0.00,,0.00
,,ORC2L,,,,,,,,0.00,,0.00
,,ORC3L,,,,,,,,0.00,,0.00
,,ORC4L,,,,,,,,0.00,,0.00
,,ORC5L,,,,,,,,0.00,,0.00
,,ORC6L,,,,,,,,0.00,,0.00
,,OS9,,,,,,,,0.03,,0.98
,,OSCAR,,,,,,,,0.00,,0.00
,,OSTalpha,,,,,,,,0.00,,0.00
,,OSTBETA,,,,,,,,0.00,,0.00
,,OTUB1,,,,,,,,0.00,,0.00
,,OTUB2,,,,,,,,0.00,,0.00
,,OXSM,,,,,,,,1.00,,0.88
,,OXT,,,,,,,,0.00,,0.00
,,P4HTM,,,,,,,,0.08,,0.08
,,PA2G4,,,,,,,,1.00,,0.71
,,PABPC1,,,,,,,,0.73,,0.41
,,PABPC1L,,,,,,,,0.02,,0.02
,,PABPC3,,,,,,,,1.00,,0.55
,,PABPC4,,,,,,,,0.71,,0.54
,,PABPC5,,,,,,,,1.00,,0.73
,,PABPN1,,,,,,,,0.93,,0.75
,,PABPN1L,,,,,,,,0.00,,0.00
,,PADI1,,,,,,,,1.00,,0.98
,,PADI3,,,,,,,,0.94,,0.42
,,PADI4,,,,,,,,0.75,,0.43
,,PADI6,,,,,,,,0.00,,0.00
,,PAFAH2,,,,,,,,0.84,,0.40
,,PAGE1,,,,,,,,1.00,,0.40
,,PAGE2,,,,,,,,0.00,,0.00
,,PAGE2B,,,,,,,,0.00,,0.00
,,PAGE4,,,,,,,,1.00,,0.72
,,PAGE5,,,,,,,,1.00,,0.77
,,PAICS,,,,,,,,1.00,,0.41
,,PALLD,,,,,,,,0.39,,0.70
,,PAPLN,,,,,,,,0.46,,0.16
,,PAPPA,,,,,,,,0.62,,0.27
,,PARL,,,,,,,,0.67,,0.55
,,PARP10,,,,,,,,0.21,,0.35
,,PARP11,,,,,,,,0.00,,0.00
,,PARP12,,,,,,,,1.00,,0.53
,,PARP14,,,,,,,,1.00,,0.69
,,PARP15,,,,,,,,1.00,,0.88
,,PARP16,,,,,,,,0.00,,0.00
,,PARP2,,,,,,,,1.00,,0.59
,,PARP3,,,,,,,,1.00,,0.57
,,PARP4,,,,,,,,0.34,,0.13
,,PARP6,,,,,,,,0.94,,0.79
,,PARP8,,,,,,,,0.43,,0.23
,,PARP9,,,,,,,,1.00,,0.88
,,PARS2,,,,,,,,0.75,,0.31
,,PARVA,,,,,,,,0.00,,0.00
,,PARVG,,,,,,,,1.00,,0.73
,,PCCA,,,,,,,,0.37,,0.62
,,PCCB,,,,,,,,0.05,,0.54
,,PCDHAC1,,,,,,,,0.69,,0.57
,,PCDHAC2,,,,,,,,1.00,,0.41
,,PCDHGA1,,,,,,,,0.48,,0.96
,,PCDHGA10,,,,,,,,0.85,,0.39
,,PCDHGA11,,,,,,,,1.00,,0.99
,,PCDHGA12,,,,,,,,0.88,,0.71
,,PCDHGA2,,,,,,,,0.82,,0.54
,,PCDHGA3,,,,,,,,0.25,,0.06
,,PCDHGA4,,,,,,,,1.00,,0.96
,,PCDHGA5,,,,,,,,0.69,,0.38
,,PCDHGA6,,,,,,,,0.70,,0.70
,,PCDHGA7,,,,,,,,0.18,,0.64
,,PCDHGA8,,,,,,,,0.08,,0.02
,,PCDHGA9,,,,,,,,1.00,,0.64
,,PCDHGB1,,,,,,,,0.39,,0.54
,,PCDHGB2,,,,,,,,1.00,,0.87
,,PCDHGB3,,,,,,,,0.59,,0.75
,,PCDHGB4,,,,,,,,0.29,,0.92
,,PCDHGB5,,,,,,,,0.00,,0.00
,,PCDHGB6,,,,,,,,0.77,,0.39
,,PCDHGB7,,,,,,,,0.63,,0.47
,,PCDHGC4,,,,,,,,0.41,,0.23
,,PCDHGC5,,,,,,,,0.32,,0.26
,,PCYT2,,,,,,,,1.00,,0.57
,,PDE1A,,,,,,,,0.07,,0.27
,,PDE1B,,,,,,,,0.67,,0.28
,,PDE1C,,,,,,,,0.43,,0.12
,,PDE2A,,,,,,,,0.57,,0.96
,,PDE3A,,,,,,,,0.67,,0.90
,,PDE3B,,,,,,,,0.03,,0.05
,,PDE5A,,,,,,,,0.60,,0.32
,,PDHX,,,,,,,,1.00,,0.66
,,PDIA2,,,,,,,,0.69,,0.50
,,PDIA3,,,,,,,,0.48,,0.92
